,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1004712133.495093,2621516589.519641,2118320699.553187,802467131.157409,
Tax Rate For Calcs,0.250246,0.255895,0.235204,0.248442,
Normalized EBITDA,294276000000.0,278981300000.0,273551500000.0,274443300000.0,
Total Unusual Items,4014900000.0,10244500000.0,9006300000.0,3230000000.0,
Total Unusual Items Excluding Goodwill,4014900000.0,10244500000.0,9006300000.0,3230000000.0,
Net Income From Continuing Operation Net Minority Interest,206894700000.0,197306200000.0,198982400000.0,191916600000.0,
Reconciled Depreciation,17105300000.0,19505800000.0,18163900000.0,18090100000.0,
Reconciled Cost Of Revenue,330014600000.0,323761000000.0,273458400000.0,294605200000.0,
EBITDA,298290900000.0,289225800000.0,282557800000.0,277673300000.0,
EBIT,281185600000.0,269720000000.0,264393900000.0,259583200000.0,
Net Interest Income,13770600000.0,14437000000.0,16576400000.0,14562300000.0,
Interest Expense,851700000.0,450600000.0,391100000.0,432000000.0,
Interest Income,14622300000.0,14887600000.0,16967500000.0,15340000000.0,
Normalized Income,203884512133.4951,189683216589.51965,192094420699.5532,189489067131.1574,
Net Income From Continuing And Discontinued Operation,206894700000.0,347466300000.0,204587800000.0,191916600000.0,
Total Expenses,526177400000.0,504601900000.0,437215600000.0,463485200000.0,
Rent Expense Supplemental,3427100000.0,3072000000.0,2743000000.0,2664600000.0,
Diluted Average Shares,12532552734.0,12521042519.0,12489150656.0,12414327109.0,
Basic Average Shares,12524054306.0,12502378226.0,12461058425.0,12381512709.0,
Diluted EPS,16.51,27.75,16.38,15.46,
Basic EPS,16.52,27.79,16.42,15.5,
Diluted NI Availto Com Stockholders,206894700000.0,347466300000.0,204587800000.0,191916600000.0,
Net Income Common Stockholders,206894700000.0,347466300000.0,204587800000.0,191916600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,206894700000.0,347466300000.0,204587800000.0,191916600000.0,
Minority Interests,-3286800000.0,-3058500000.0,-2925800000.0,-2850600000.0,
Net Income Including Noncontrolling Interests,210181500000.0,350524800000.0,207513600000.0,194767200000.0,
Net Income Discontinuous Operations,0.0,150160100000.0,5605400000.0,,
Net Income Continuous Operations,210181500000.0,200364700000.0,201908200000.0,194767200000.0,
Tax Provision,70152400000.0,68904700000.0,62094600000.0,64384000000.0,
Pretax Income,280333900000.0,269269400000.0,264002800000.0,259151200000.0,
Other Non Operating Income Expenses,1859800000.0,1512100000.0,1480600000.0,1531300000.0,
Special Income Charges,-2799200000.0,1308900000.0,720400000.0,652400000.0,
Other Special Charges,2798500000.0,-1387600000.0,-721000000.0,-666600000.0,
Write Off,700000.0,78700000.0,600000.0,14200000.0,
Net Non Operating Interest Income Expense,13770600000.0,14437000000.0,16576400000.0,14562300000.0,
Total Other Finance Cost,,,341000000.0,345700000.0,206300000.0
Interest Expense Non Operating,851700000.0,450600000.0,391100000.0,432000000.0,
Interest Income Non Operating,14622300000.0,14887600000.0,16967500000.0,15340000000.0,
Operating Income,255955400000.0,241931300000.0,236694800000.0,238967000000.0,
Operating Expense,196162800000.0,180840900000.0,163757200000.0,168880000000.0,
Other Operating Expenses,66709300000.0,64015100000.0,56779000000.0,74181700000.0,
Depreciation And Amortization In Income Statement,17105300000.0,16463200000.0,15180500000.0,18090100000.0,
Depreciation Income Statement,17105300000.0,16463200000.0,15180500000.0,18090100000.0,
Research And Development,,,2421500000.0,2047200000.0,1992400000.0
Selling General And Administration,47657300000.0,42293000000.0,38978400000.0,21450500000.0,
Selling And Marketing Expense,35683800000.0,33169400000.0,30389300000.0,12710100000.0,
General And Administrative Expense,11973500000.0,9123600000.0,8589100000.0,8740400000.0,
Rent And Landing Fees,3427100000.0,3072000000.0,2743000000.0,2664600000.0,
Gross Profit,452118200000.0,422772200000.0,400452000000.0,407847000000.0,
Cost Of Revenue,330014600000.0,323761000000.0,273458400000.0,294605200000.0,
Total Revenue,782132800000.0,746533200000.0,673910400000.0,702452200000.0,
Operating Revenue,782132800000.0,746533200000.0,673910400000.0,702452200000.0,
